Source,Platform,Title,Type,Original Price,Start/Discovery Date,End Date,URL
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：LivingBattle,Portal / Oferta,Grátis / Desconto,16/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/3353830/_
Web Search (Serper (Google)),Múltiplas,"Aproveita ofertas de jogos, brindes grátis e muito mais!",Portal / Oferta,Grátis / Desconto,16/08/2026,Enquanto durar o estoque,https://store.epicgames.com/news/epic-games-mega-sale-buyers-guide
Web Search (Google/Bing),Múltiplas,Poki - Jogos Online Grátis - Jogue Agora!,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://poki.com/br
Web Search (Serper (Google)),Múltiplas,Save 100% on Terrors to Unveil - Day Off on Steam,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/3587490
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：World of Warships — Marblehead Lima,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/934690/_Marblehead_Lima
Web Search (Google/Bing),Múltiplas,GOG.com,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://static-s.gog.com/wishlist/games
Web Search (Google/Bing),Múltiplas,"Best Video games, DRM-free | GOG.COM",Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://www.gog.com/games
Web Search (Google/Bing),Múltiplas,301 Moved Permanently,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,http://epicgames.com
Web Search (Serper (Google)),Múltiplas,Baixe nossos Jogos de Aventura,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://store.epicgames.com/c/adventure-games
Web Search (Serper (Google)),Múltiplas,Recanto dos Jogos Leves,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://store.steampowered.com/curator/36950778-Recanto-dos-Jogos-Leves/lists
Web Search (Serper (Google)),Múltiplas,Só Jogos Gratis - Steam Curator,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://store.steampowered.com/curator/31501281-S%C3%B3-Jogos-Gratis
Web Search (Serper (Google)),Múltiplas,Steam Store,Portal / Oferta,Grátis / Desconto,15/08/2026,Enquanto durar o estoque,https://store.steampowered.com
Web Search (Google/Bing),Múltiplas,"Lista de Jogos Grátis (Steam, Epic Games, Uplay, Origin e ...",Portal / Oferta,Grátis / Desconto,14/08/2026,Enquanto durar o estoque,https://www.nerdmaldito.com/2020/04/lista-de-jogos-gratis.html
Web Search (Google/Bing),Múltiplas,Jogos Gratuitos para Jogar - Steam,Portal / Oferta,Grátis / Desconto,14/08/2026,Enquanto durar o estoque,https://store.steampowered.com/genre/Free%20to%20Play/In
Web Search (Serper (Google)),Múltiplas,15 jogos grátis para PC que todo gamer precisa baixar,Portal / Oferta,Grátis / Desconto,14/08/2026,Enquanto durar o estoque,https://www.techtudo.com.br/listas/2024/09/15-jogos-gratis-para-pc-que-todo-gamer-precisa-baixar-edjogos.ghtml
Web Search (Serper (Google)),Múltiplas,"Baixe jogos grátis para Windows: FPS, estratégia, RPGs",Portal / Oferta,Grátis / Desconto,14/08/2026,Enquanto durar o estoque,https://br.uptodown.com/windows/games
Web Search (Serper (Google)),Múltiplas,Steamで100% OFF：Deponia,Portal / Oferta,Grátis / Desconto,14/08/2026,Enquanto durar o estoque,https://store.steampowered.com/app/214340/Deponia
Web Search (Serper (Google)),Múltiplas,"Epic Games Store | Baixe e jogue jogos para PC, mods, DLCs ...",Portal / Oferta,Grátis / Desconto,14/08/2026,Enquanto durar o estoque,https://store.epicgames.com
Web Search (Google/Bing),Múltiplas,Steam Community :: Group :: Free To Keep,Portal / Oferta,Grátis / Desconto,13/08/2026,Enquanto durar o estoque,https://steamcommunity.com/groups/freetokeep
Web Search (Google/Bing),Múltiplas,GOG.com,Portal / Oferta,Grátis / Desconto,13/08/2026,Enquanto durar o estoque,https://www.gog.com/en/partner/free_games
Web Search (Serper (Google)),Múltiplas,"Baixe e jogue jogos para PC, mods, DLCs e muito mais",Portal / Oferta,Grátis / Desconto,13/08/2026,Enquanto durar o estoque,https://store.epicgames.com/vi
Web Search (Serper (Google)),Múltiplas,Steam Curator: Jogos gratis brasil,Portal / Oferta,Grátis / Desconto,13/08/2026,Enquanto durar o estoque,https://store.steampowered.com/curator/6874381-Jogos-gratis-brasil
Web Search (Serper (Google)),Múltiplas,Ganhe um jogo grátis toda semana | Epic Games Store,Portal / Oferta,Grátis / Desconto,13/08/2026,Enquanto durar o estoque,https://store.epicgames.com/free-games
